AB0109;via Abruzzi (ang. via Campeda);1,3
AB0110;via Abruzzi (fronte via Campeda);1,16,3
AB0894;via Abruzzi lato p.zza S.Michele;1,20,8
AD0183;viale A. Diaz (campo Coni, piscina comunale);PF,PQ
AD0241;viale A. Diaz (ang. via Siracusa);PF,PQ,PFS
AD0265;viale A. Diaz (Uffici Comunali);PF,PQ
AD0274;viale A. Diaz (fronte via Bottego H Mediterraneo);PF,PQ
AD0275;viale A. Diaz (ang. via Bottego, H. Mediterraneo);PF,PQ,PFS
AD0278;viale A. Diaz (ang. via Caboto);PF,PQ
AD0279;viale A. Diaz (ang. via Ancona);PF,PQ,PFS
AD0282;viale A. Diaz (fronte Fiera);PF,PQ,PFS
AD0283;viale A. Diaz (Fiera);PF,PQ
AD0298;viale A. Diaz (fronte Amsicora);PF,PQ
AD0632;viale A. Diaz (Banco di Sardegna);PF,PQ,PFS
AD0917;viale A. Diaz (parcheggi Fiera);PF,PQ
AE0822;via dell'Aeronautica;
AF1166;Corso Africa (civ. 20 fronte via Iglesias);19S,19,9A,9
AF1170;Corso Africa (fronte via Cipro);19S,19,9
AF1176;Corso Africa Assemini;19S,19,9
AF1177;Corso Africa Assemini (ang via Cipro);19S,19,9A,9
AG0583;Capolinea Ist. Agrario;9A
AG0720;via dell'autonomia regionale (fronte civ.N. 92);1Q,2L
AG0721;via dell'Autonomia Reg (ang via delle Camelie);1Q,2L
AG0722;via dell'Autonomia Reg. (serre);1Q,2L
AG0723;via dell'autonomia Reg (ang. via Palma Fiorita);1Q,2L
AG0724;via dell'autonomia regionale (fronte civ. N. 60);1Q,2L
AG0725;via dell'autonomia regionale (cementeria);1Q,2L
AG0726;via dell'autonomia regionale (ang. via Cixerri);1Q,2L
AG0727;via dell'autonomia regionale (lato civ. 46 A);1Q,2L
AG0736;via dell'autonomia Reg (ang. via Menta Fiorita);1Q,2L
AG0770;via dell'autonomia regionale (ang. via S.Giovanni);1Q,2L
AG0771;via L. Da Vinci;1Q,2L
AG0819;via Argentina (Scuola);8H,M
AG0820;via Argentina (ang. via S.Fulgenzio);8H,M
AG0852;via dell'autonomia regionale (civ. N. 92);1Q,2L
AG1129;prolungam. via Argiolas (ang. Via Della Costa);15
AG1130;prolungam. via Argiolas (fronte via Monserrato);15
AG1154;via Argiolas;15
AG1155;via Argiolas (ang. via dei covoni);15
AG1193;via dell'Argine civ. 51;29S
AH1133;Via Archimede;
AH1145;via Archimede;
AI1127;via delle Agavi;15
AL0017;via Alghero (ang. via Sonnino);10
AL0018;via Alghero (ang. via Satta);10
AL0184;via Alghero ( piazza Repubblica);10
AL0185;via Alghero (ang. via Dante);10
AM0112;Via Aldo Marongiu (pressi Cimitero);1
AM0170;p.zza d'Armi (Facoltà di Ingegneria);
AM0810;Via Aldo Marongiu (pressi Cimitero) ;1
AN0451;via sant'Antonio (ang. via Fadda);1Q,PQ
AN0682;via sant'Antonio;17
AN0700;via sant'Antonio (ang. via Liguria);1Q,41,PQ
AN0808;via S. Angelo civ. 28;29S
AN0904;via Andorra (Capolinea);6
AQ0313;via Aquilone (lato piazza);3
AR0515;via s'Arrulloni (Campi Sportivi);1Q,41
AR0971;via s'Arrulloni (ang. via Silesu);41
AR0973;via s'Arrulloni (fronte via Silesu);40
AR0974;via della Musica (ang. via Parini);1Q,40
AS1000;via Ariosto (ang. via Oslo);41
AS1113;via Ariosto (ang. via Dublino);41
AT0317;via Astrolabio;3
AU1142;via Aresu;20
AU2004;Via Austria (Quartello) Da Codificare;
AU2005;Via Austria Quartello (da codificare);41
AU2006;Via Austria (angolo via Dalla Chiesa) Quartello da;
AU2007;Via Austria (angolo Via Dalla Chiesa) Quartello da;40
AV0144;via s. Avendrace (ang. via Piave);1,9A,9
AV0145;via s. Avendrace (ang. via Montello);1,9A,9
AV0146;via s. Avendrace (ang. via Flumendosa);1,9A,9
AV0147;via s. Avendrace (fronte via Flumendosa);1,9A,9
AV0148;via s. Avendrace (ang. via Coghinas);1,9A,9
AV0149;via s. Avendrace (ang. v.le Trento);1,9A,9
AZ0209;via dell'Abbazia (ang. via Conversi);6
AZ0210;via dell'Abbazia (fronte via Conversi);6
AZ0211;via dell'Abbazia (ang. via Lione);6
AZ0212;via dell'Abbazia (ang. via Stoccolma);6
BA0008;via Bacaredda (ang. via G.Benedetta);6,M
BA0009;via Bacaredda (fronte via G.Benedetta);6,9M,M
BA0010;via Bacaredda (Scuola Materna);6,9M,M
BA0011;via Bacaredda (Conservatorio);6,M
BA0013;via Bacaredda (fronte Mercato Civico);9M,M
BA0014;via Bacaredda (lato Mercato);M
BA0015;via Bacaredda (Min.Finanze);M
BA0016;via Bacaredda (fronte via Gioberti);9M,M
BA0813;via Bacaredda (ang. piazza Garibaldi);M
BA1178;Via Baronia Assemini;19S,19,9
BC0565;via Bosco Cappuccio;9A,9
BD0846;via San Benedetto (pressi piscina);19,PF,QSB,QSA
BD0847;via San Benedetto (ang. via Atene);19,PF,QSB,QSA
BD0848;via San Benedetto (ang. via Bonn);19,PF,QSB,QSA
BD0935;via San Benedetto (dopo ang via Fiume);19,PF,QSB,QSA,PFS
BD0936;via San Benedetto (ang. via Dublino civ 14/B);19,PF,QSB,QSA,PFS
